asset_tag,name,manufacturer,type,category,location,size,invoice_number,cost,quantity,last_maintenance_date,next_maintenance_date,condition,notes
000115,Socket 13 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,13,,,1,,,Good,Inherited from Dad
000116,Socket E14 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,14,,,1,,,Good,Inherited from Dad
000117,Socket 14 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,14,,,1,,,Good,Inherited from Dad
000118,Socket 15 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,15,,,1,,,Good,Inherited from Dad
000119,Socket E16 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,16,,,1,,,Good,Inherited from Dad
000120,Socket 16 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,16,,,1,,,Good,Inherited from Dad
000121,Socket 17 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,17,,,1,,,Good,Inherited from Dad
000122,Socket E18 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,18,,,1,,,Good,Inherited from Dad
000123,Socket 18,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,18,,,1,,,Good,Inherited from Dad
000124,Socket 19 3/8,Snap-on,Socket 3/8,Sockets,avOSGaSlcV5HndWbeP7O,19,,,1,,,Good,Inherited from Dad
000125,Pillar Drill PBD40,Bosch,Pillar Drill,Drills,,,,,1,,,,
000126,Heat Gun,Bosch,Heat Gun,Heat,,,,,1,,,,
